SampleID,Date,Timepoint,TotalColiforms_MPN,Ecoli_MPN,nitrate,TotCol_PA
GWQ_001,3/23/19,Florence_2_March2019,,,0.02,0
GWQ_002,3/30/19,Florence_2_March2019,,,0.01,0
GWQ_004,3/23/19,Florence_2_March2019,,,0.01,0
GWQ_006,3/30/19,Florence_2_March2019,,,0.01,0
GWQ_008,3/30/19,Florence_2_March2019,,,0.01,0
GWQ_009,3/30/19,Florence_2_March2019,,,0.01,0
GWQ_010,3/30/19,Florence_2_March2019,,,0.009,0
GWQ_011,3/30/19,Florence_2_March2019,,,0.01,0
GWQ_013,4/6/19,Florence_2_March2019,,,0.006,0
GWQ_014,12/8/18,Florence_1_Dec2018,,,0.008,0
GWQ_015,3/30/19,Florence_2_March2019,,,0.002,0
GWQ_016,4/6/19,Florence_2_March2019,6.3,,0.007,1
GWQ_017,3/30/19,Florence_2_March2019,,,0.004,0
GWQ_021,3/30/19,Florence_2_March2019,,,0.008,0
GWQ_022,4/6/19,Florence_2_March2019,,,0.004,0
GWQ_023,4/6/19,Florence_2_March2019,,,0.213,0
GWQ_024,3/30/19,Florence_2_March2019,,,0.006,0
GWQ_025A,3/30/19,Florence_2_March2019,,,0.01,0
GWQ_025B,3/30/19,Florence_2_March2019,,,0.01,0
GWQ_028,3/30/19,Florence_2_March2019,,,0.019,0
GWQ_035,3/30/19,Florence_2_March2019,,,0.01,0
GWQ_038,3/30/19,Florence_2_March2019,,,0.004,0
GWQ_039,3/30/19,Florence_2_March2019,,,0,0
GWQ_041,3/30/19,Florence_2_March2019,,,0.006,0
GWQ_042,3/30/19,Florence_2_March2019,,,1.817,0
GWQ_043,3/30/19,Florence_2_March2019,,,0.018,0
GWQ_044,3/30/19,Florence_2_March2019,,,0.007,0
GWQ_045,4/6/19,Florence_2_March2019,,,0.009,0
GWQ_051,3/30/19,Florence_2_March2019,,,0.005,0
GWQ_052,3/30/19,Florence_2_March2019,,,0.008,0
GWQ_053,3/30/19,Florence_2_March2019,,,0.009,0
GWQ_055,3/30/19,Florence_2_March2019,26.2,,0.013,1
GWQ_056,3/30/19,Florence_2_March2019,,,0.019,0
GWQ_057,3/30/19,Florence_2_March2019,,,0.009,0
GWQ_060,4/6/19,Florence_2_March2019,,,0.011,0
GWQ_063,4/6/19,Florence_2_March2019,,,0.01,0
GWQ_069,4/6/19,Florence_2_March2019,,,0.008,0
GWQ_078,3/30/19,Florence_2_March2019,,,0.009,0
GWQ_083,4/6/19,Florence_2_March2019,,,0.038,0
GWQ_091,3/30/19,Florence_2_March2019,,,0.008,0
GWQ_095,3/30/19,Florence_2_March2019,,,0.546,0
GWQ_096,3/30/19,Florence_2_March2019,,23.79,NA,0
GWQ_098,4/6/19,Florence_2_March2019,,,0.019,0
GWQ_099,4/6/19,Florence_2_March2019,,,0.006,0
GWQ_100,3/30/19,Florence_2_March2019,,,0.01,0
GWQ_A001,12/8/18,Florence_1_Dec2018,,,0.008,0
GWQ_A002,12/8/18,Florence_1_Dec2018,,,0.007,0
GWQ_A003,12/8/18,Florence_1_Dec2018,1,0,0.006,1
GWQ_A004,12/8/18,Florence_1_Dec2018,228.2,0,0.003,1
GWQ_A005,12/8/18,Florence_1_Dec2018,,,0.004,0
GWQ_A006,12/8/18,Florence_1_Dec2018,,,0.006,0
GWQ_A007A,12/8/18,Florence_1_Dec2018,,,0.012,0
GWQ_A007B,12/8/18,Florence_1_Dec2018,,,0.012,0
GWQ_014,3/30/19,Florence_1_Dec2018,,,NA,0
GWQ_039,12/8/18,Florence_1_Dec2018,,,0.006,0
GWQ_048,12/8/18,Florence_1_Dec2018,5.2,3.1,0.029,1
GWQ_048B,12/8/18,Florence_1_Dec2018,,,0.009,0
GWQ_055,12/8/18,Florence_1_Dec2018,,,0.007,0
GWQ_073,12/8/18,Florence_1_Dec2018,,,7.766,0
GWQ_093A,12/8/18,Florence_1_Dec2018,,,0.029,0
GWQ_93B,12/8/18,Florence_1_Dec2018,,,2.857,0
GWQ_114,12/8/18,Florence_1_Dec2018,,,0.01,0
GWQ_115,12/8/18,Florence_1_Dec2018,1413.6,0,2.815,1
GWQ_128,12/8/18,Florence_1_Dec2018,,,5.295,0
GWQ_139,12/8/18,Florence_1_Dec2018,,,0.008,0
GWQ_168,12/8/18,Florence_1_Dec2018,,,14.801,0
GWQ_191,12/8/18,Florence_1_Dec2018,,,0.017,0
GWQ_281,12/8/18,Florence_1_Dec2018,,,0.009,0
GWQ_260,12/8/18,Florence_1_Dec2018,1,0,0.138,1
GWQ_007,12/6/18,Florence_1_Dec2018,,,0.015,0
GWQ_029,12/6/18,Florence_1_Dec2018,,,0.008,0
GWQ_037,12/6/18,Florence_1_Dec2018,,,0.005,0
GWQ_040,12/6/18,Florence_1_Dec2018,,,0.006,0
GWQ_044,12/6/18,Florence_1_Dec2018,,,0.01,0
GWQ_045,12/6/18,Florence_1_Dec2018,,,0.009,0
GWQ_047,12/6/18,Florence_1_Dec2018,,,0.011,0
GWQ_059,12/6/18,Florence_1_Dec2018,,,0.008,0
GWQ_076,12/6/18,Florence_1_Dec2018,7.5,,0.022,1
GWQ_103,12/6/18,Florence_1_Dec2018,,,0.009,0
GWQ_118,12/6/18,Florence_1_Dec2018,,,0.011,0
GWQ_186,12/6/18,Florence_1_Dec2018,,,0.012,0
GWQ_187,12/6/18,Florence_1_Dec2018,,,0.01,0
GWQ_195,12/6/18,Florence_1_Dec2018,,,0.006,0
GWQ_222A,12/6/18,Florence_1_Dec2018,,,0.005,0
GWQ_222B,12/6/18,Florence_1_Dec2018,,,0.005,0
GWQ_247,12/6/18,Florence_1_Dec2018,,,0.008,0
GWQ_262,12/6/18,Florence_1_Dec2018,,,0.008,0
GWQ_265,12/6/18,Florence_1_Dec2018,,,0.012,0
GWQ_268A well,12/6/18,Florence_1_Dec2018,,,NA,0
GWQ_268B well,12/6/18,Florence_1_Dec2018,,,NA,0
GWQ_268A sink,12/6/18,Florence_1_Dec2018,,,0.008,0
GWQ_268B sink,12/6/18,Florence_1_Dec2018,,,0.008,0
GWQ_296,12/6/18,Florence_1_Dec2018,,,0.011,0
GWQ_303,12/8/18,Florence_1_Dec2018,,,0.023,0
GWQ_337,12/6/18,Florence_1_Dec2018,,,0.009,0
NCGWQ_2001,8/11/19,Florence_3_Aug2019,0,,0.001,0
NCGWQ_2002,8/11/19,Florence_3_Aug2019,0,,0.003,0
NCGWQ_2003,8/11/19,Florence_3_Aug2019,0,,0.002,0
NCGWQ_2004,8/11/19,Florence_3_Aug2019,72419.6,0,0.448,1
NCGWQ_2005,8/11/19,Florence_3_Aug2019,0,,0.005,0
NCGWQ_304,8/11/19,Florence_3_Aug2019,0,,0.003,0
NCGWQ_016 R2,8/11/19,Florence_3_Aug2019,0,,0.002,0
NCGWQ_A005 R2,8/11/19,Florence_3_Aug2019,0,,0.004,0
NCGWQ_339,8/12/19,Florence_3_Aug2019,0,,0.002,0
NCGWQ_338,8/12/19,Florence_3_Aug2019,0,,0.004,0
NCGWQ_004 R2,8/11/19,Florence_3_Aug2019,0,,0.004,0
NCGWQ_100 R2,8/11/19,Florence_3_Aug2019,0,,0,0
NCGWQ_028 R2,8/11/19,Florence_3_Aug2019,0,,0.002,0
NCGWQ_069 R2,8/11/19,Florence_3_Aug2019,0,,0,0
NCGWQ_301,9/2/19,Florence_4_Sept2019,0,,0,0
NCGWQ_302,9/2/19,Florence_4_Sept2019,25.9,0,0.004,1
NCGWQ_303,9/2/19,Florence_4_Sept2019,0,,0,0
NCGWQ_304,9/2/19,Florence_4_Sept2019,4.1,0,0.002,1
NCGWQ_305,9/2/19,Florence_4_Sept2019,0,,0.004,0
NCGWQ_306,9/2/19,Florence_4_Sept2019,0,,0,0
NCGWQ_307,9/2/19,Florence_4_Sept2019,25.6,0,0,1
NCGWQ_308,9/2/19,Florence_4_Sept2019,0,,0.002,0
NCGWQ_309,9/2/19,Florence_4_Sept2019,0,,0.001,0
NCGWQ_310,9/2/19,Florence_4_Sept2019,0,,0,0
NCGWQ_311,9/2/19,Florence_4_Sept2019,88.4,0,0.003,1
NCGWQ_312,9/2/19,Florence_4_Sept2019,0,,0.03,0
