"","SampleID","Date","Timepoint","TotalColiforms_MPN","Ecoli_MPN","nitrate","TotCol_PA","richness","shannon","simp.even","J"
"GWQ_001","GWQ_001","3/23/19","Florence_2_March2019",NA,NA,0.02,0,204,1.75858654653767,0.0593424218123496,0.434965185954608
"GWQ_002","GWQ_002","3/30/19","Florence_2_March2019",NA,NA,0.01,0,545,3.12079805141617,0.0851271385317639,0.660152746314395
"GWQ_004","GWQ_004","3/23/19","Florence_2_March2019",NA,NA,0.01,0,595,4.04192381187133,0.0881288109756098,0.75933049678888
"GWQ_006","GWQ_006","3/30/19","Florence_2_March2019",NA,NA,0.01,0,912,3.3515926913228,0.0691521763207443,0.661206556212834
"GWQ_007","GWQ_008","3/30/19","Florence_2_March2019",NA,NA,0.01,0,166,1.1644399336891,0.0360742023593034,0.305895239417288
"GWQ_008","GWQ_009","3/30/19","Florence_2_March2019",NA,NA,0.01,0,492,3.32979399512398,0.11712388752824,0.719959690478577
"GWQ_009","GWQ_010","3/30/19","Florence_2_March2019",NA,NA,0.009,0,490,4.42036961881732,0.160136187893127,0.823777371803874
"GWQ_010","GWQ_011","3/30/19","Florence_2_March2019",NA,NA,0.01,0,637,4.27881508695986,0.117297521464625,0.800211153858305
"GWQ_011","GWQ_013","4/6/19","Florence_2_March2019",NA,NA,0.006,0,1426,4.08310530593568,0.125127632690402,0.769917132188809
"GWQ_013","GWQ_014","12/8/18","Florence_1_Dec2018",NA,NA,0.008,0,751,3.74152258380276,0.109173526895046,0.732777622269535
"GWQ_014","GWQ_015","3/30/19","Florence_2_March2019",NA,NA,0.002,0,639,2.98388766130935,0.0604720817529277,0.621122937123816
"GWQ_014_2","GWQ_016","4/6/19","Florence_2_March2019",6.3,NA,0.007,1,122,3.26453694501649,0.121798610691163,0.720235032887364
"GWQ_015","GWQ_017","3/30/19","Florence_2_March2019",NA,NA,0.004,0,406,1.37676021204699,0.0191979411505274,0.310723795307086
"GWQ_016","GWQ_021","3/30/19","Florence_2_March2019",NA,NA,0.008,0,602,2.6492391716884,0.0384965045636277,0.543411680811486
"GWQ_017","GWQ_022","4/6/19","Florence_2_March2019",NA,NA,0.004,0,937,3.69830281365324,0.0581239001404632,0.703434345055224
"GWQ_021","GWQ_023","4/6/19","Florence_2_March2019",NA,NA,0.213,0,289,2.69141945244146,0.141888897726369,0.654707378861087
"GWQ_022","GWQ_024","3/30/19","Florence_2_March2019",NA,NA,0.006,0,331,3.08379263397438,0.0617353224425386,0.65355375048081
"GWQ_023","GWQ_025A","3/30/19","Florence_2_March2019",NA,NA,0.01,0,538,3.14749302853084,0.0752875850094053,0.658592110680449
"GWQ_024","GWQ_025B","3/30/19","Florence_2_March2019",NA,NA,0.01,0,683,3.70383512025917,0.0561828715914881,0.701734494111794
"GWQ_025A","GWQ_028","3/30/19","Florence_2_March2019",NA,NA,0.019,0,611,4.64761161898883,0.203364574257587,0.83992128666468
"GWQ_025B","GWQ_035","3/30/19","Florence_2_March2019",NA,NA,0.01,0,927,4.35166618055628,0.106643267062923,0.795221296617012
"GWQ_028","GWQ_038","3/30/19","Florence_2_March2019",NA,NA,0.004,0,142,1.78390695404089,0.0695865818680911,0.458373413311742
"GWQ_029","GWQ_039","3/30/19","Florence_2_March2019",NA,NA,0,0,413,2.61783482373775,0.0334213059721565,0.551711753280813
"GWQ_032","GWQ_041","3/30/19","Florence_2_March2019",NA,NA,0.006,0,564,3.73307999855389,0.168963944886972,0.757639090067428
"GWQ_035","GWQ_042","3/30/19","Florence_2_March2019",NA,NA,1.817,0,370,4.68663184203929,0.332333560433477,0.878844736376871
"GWQ_037","GWQ_043","3/30/19","Florence_2_March2019",NA,NA,0.018,0,359,3.07602293420325,0.0941232779397272,0.673923812375506
"GWQ_038","GWQ_044","3/30/19","Florence_2_March2019",NA,NA,0.007,0,1009,4.36872971443803,0.202070463730476,0.817756716145437
"GWQ_039","GWQ_045","4/6/19","Florence_2_March2019",NA,NA,0.009,0,312,3.81711016088384,0.0541020159310128,0.727480969858049
"GWQ_039_2","GWQ_051","3/30/19","Florence_2_March2019",NA,NA,0.005,0,666,3.97053679361757,0.126978526266125,0.762174363675371
"GWQ_040","GWQ_052","3/30/19","Florence_2_March2019",NA,NA,0.008,0,738,3.8537516029726,0.0688314229570365,0.735203662424131
"GWQ_041","GWQ_053","3/30/19","Florence_2_March2019",NA,NA,0.009,0,1046,4.41318943678375,0.101113360323887,0.794192188022098
"GWQ_042","GWQ_055","3/30/19","Florence_2_March2019",26.2,NA,0.013,1,959,4.94284298541833,0.202207236711604,0.860192865013132
"GWQ_043","GWQ_056","3/30/19","Florence_2_March2019",NA,NA,0.019,0,732,4.20354543777613,0.220623700329853,0.817545798472152
"GWQ_044","GWQ_057","3/30/19","Florence_2_March2019",NA,NA,0.009,0,229,3.48730621652152,0.181298686591737,0.755626251534671
